RX Date/Time,Left Hip Yaw(field 1),Left Hip Roll(field 2),Left Hip Pitch(field 3),Left Knee Pitch(field 4),Left Ankle Pitch(field 5),Right Hip Yaw(field 6),Right Hip Roll(field 7),Right Hip Pitch(field 8),Right Knee Pitch(field 9),Right Ankle Pitch(field 10)
2025/04/01/ 21:40:23::843,-0.329165,2.052627,1.022219,1.127904,-1.119051,-0.22622,-1.073964,-0.255858,-0.632622,-1.314719
2025/04/01/ 21:40:23::873,-0.179506,2.738738,1.054087,1.552655,-1.175387,-0.12282,-0.965059,-0.704697,-0.775625,-0.872929
2025/04/01/ 21:40:23::904,-0.112659,3.529675,0.969407,1.743786,-1.261183,-0.200955,-1.018997,-0.765366,-1.112197,-0.468432
2025/04/01/ 21:40:23::936,-0.097177,4.129179,0.922753,1.917712,-1.416559,-0.232852,-1.204462,-0.623814,-1.120008,-0.318356
2025/04/01/ 21:40:23::965,-0.13818,4.382213,0.923528,2.080201,-1.59045,-0.199737,-1.420242,-0.385872,-0.929286,-0.153497
2025/04/01/ 21:40:23::997,-0.13508,4.156444,0.790316,2.028296,-1.773554,-0.084508,-1.441483,0.01917,-0.598114,-0.038484
2025/04/01/ 21:40:24::024,-0.071669,3.549859,0.583916,1.748111,-1.894099,-0.034032,-1.421226,0.192047,-0.161358,-0.025224
2025/04/01/ 21:40:24::077,0.093098,2.631685,0.40977,1.253765,-1.942467,-0.00287,-1.271149,0.147842,0.201638,-0.188764
2025/04/01/ 21:40:24::084,0.22184,1.761099,0.315212,0.788655,-1.864356,0.246758,-1.003129,-0.255971,0.478998,-0.561204
2025/04/01/ 21:40:24::112,0.093665,1.421401,0.392033,0.319487,-1.730379,0.225722,-1.202343,-0.002154,0.357784,-0.976901
2025/04/01/ 21:40:24::143,0.075693,1.157648,0.539022,-0.058666,-1.450887,0.080966,-1.641955,-0.301117,0.520774,-1.417525
2025/04/01/ 21:40:24::172,0.028039,1.04723,0.314546,-0.145861,-1.161549,0.277056,-2.465379,-0.134121,0.702925,-1.660375
2025/04/01/ 21:40:24::203,-0.101265,0.961896,0.333264,-0.178344,-0.862534,0.327936,-3.254167,0.067729,0.961599,-1.86258
