time,tau_0,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7,tau_8,tau_9
0.5040000000000003,0.2244806264377122,-0.6450635518525742,1.0876522365511905,2.7759306569778794,-0.0900528683288907,0.3297042621866698,-1.5938970548829137,-0.4168486903907404,1.366785335201191,1.8344221773330025
0.5050000000000003,0.22664655785527346,-0.6666025690911674,1.1555215037019197,2.6190477447041256,-0.08563231545727132,0.33088186018623456,-1.5731607693348835,-0.44019571055134266,1.3945786089977479,1.8316799137632733
0.5060000000000003,0.2283178925831924,-0.6880388844596198,1.2236210863960002,2.4596409863070123,-0.08116814307266261,0.33213754093938647,-1.5527292091690355,-0.4637923174638885,1.4227235670954408,1.8289517645121591
0.5070000000000003,0.22953290006356933,-0.7093876880873031,1.2917620492116124,2.2980724237966976,-0.07666996086314247,0.333507644259066,-1.5326270831343858,-0.4876240382678322,1.4511677493844357,1.8262446314780136
0.5080000000000003,0.23061474071089832,-0.7306515108627809,1.3597488524650054,2.1347091632209385,-0.07214706802014226,0.33509067210453103,-1.5128842059025411,-0.5116631085344094,1.479855654195595,1.8235614565640557
0.5090000000000003,0.23129602679226388,-0.7518573712752992,1.4274044549103369,1.9699066082125924,-0.06760888155499217,0.3368534167248832,-1.4935180934732235,-0.5359069055066247,1.508738125675481,1.820910993777135
0.5100000000000003,0.2315935102254926,-0.773019514796248,1.4945460527815437,1.8040238449391526,-0.0630644670726822,0.3388256347910577,-1.4745509965705796,-0.5603406979802235,1.5377639756234915,1.8183030339920117
0.5110000000000003,0.2180685741858161,-0.8849838034903221,0.7360291111712097,2.8518097432809437,-0.0937113248893203,0.4436904693994616,-1.144575891522981,-0.3953664737427621,1.4597895172440358,1.8242376015264754
0.5120000000000003,0.2168279173271139,-0.9052173524264521,0.8141034354819483,2.665013529490365,-0.08825051173938434,0.44325069144970103,-1.1260212666986182,-0.41939806206568675,1.490634747464034,1.8212545020397715
0.5130000000000003,0.2151858325822533,-0.9252839096170303,0.8926166577028436,2.4757895416766234,-0.08277305502174209,0.44276430407868667,-1.1078189978627437,-0.44343107326222164,1.5215599287319042,1.8182579378714319
0.5140000000000003,0.21317322845101,-0.9452641017380977,0.9713708916146457,2.284541115837569,-0.07728939777556097,0.44226337090424883,-1.090063164274889,-0.4675169221561226,1.552620309700794,1.8152991258554212
0.5150000000000003,0.2108179493110415,-0.9651815292387418,1.0501452507067457,2.091691436456025,-0.07181009299528326,0.4417867479754485,-1.0727849346571816,-0.49165080488336915,1.5837725165063583,1.8123882977776706
0.5160000000000003,0.20814755503000767,-0.9850547374861465,1.128719027579741,1.8976635946640945,-0.0663454656599326,0.441373312521091,-1.0560099345907195,-0.515823272578999,1.6149662334109887,1.8095325587966695
0.5170000000000003,0.20518942799551257,-1.004900953288254,1.2068738644705819,1.7028782943411978,-0.06090557414487635,0.44106123575610395,-1.0397623976777604,-0.5400239281983483,1.64615099489598,1.8067385226181827
0.5180000000000003,0.20197068863677456,-1.024736338604338,1.2843944251284996,1.5077528375470943,-0.05550019417681604,0.4408877988529449,-1.0240654731040393,-0.5642417272420079,1.6772768413951817,1.8040125787296788
0.5190000000000003,0.19851809666733305,-1.044575935999649,1.3610689193027612,1.3127002324590813,-0.050138805530024824,0.44088925548728325,-1.0089411916996172,-0.5884649650381714,1.7082944145173142,1.8013609163604043
0.5200000000000004,0.1947986758210418,-1.0644277558715072,1.4367200267481335,1.1181219390935664,-0.044830740777299545,0.4409742012916258,-0.9944108217762946,-0.6127051680742771,1.739161443850863,1.7987957382279587
0.5210000000000004,0.19846662382189448,-1.1254901075336714,0.8776816528811249,2.7970970315052313,-0.044732801315517476,0.45489292905594797,-0.7986647501066746,-0.44864796500996246,1.4741657859713824,1.834638460091127
0.5220000000000004,0.19334154011659146,-1.144046945800695,0.9647542645149505,2.576995213218769,-0.038728100985411594,0.45323204029131076,-0.7841522255154424,-0.47380791811178924,1.5082837563127554,1.8311655523192114
0.5230000000000004,0.1879822077930144,-1.1624243814147301,1.05184977197393,2.3551701301260572,-0.032773710103317366,0.4516363514169481,-0.7700641874216384,-0.4990029627807443,1.542412620031007,1.8277558420690214
0.5240000000000004,0.18242454255343143,-1.180722856699008,1.1387433084156267,2.1320810900569565,-0.02687998975832423,0.45013556749873657,-0.756516020946233,-0.5242846995780642,1.5766273483483702,1.8244049061920413
0.5250000000000004,0.17670305811858514,-1.198968997914346,1.2251868871099267,1.9082106224170885,-0.021057446478844916,0.44877262753727587,-0.7435410116664763,-0.5496458735008735,1.6108825746281263,1.8211149440579613
0.5260000000000004,0.17085169079409712,-1.2171826962808157,1.3109343460800034,1.6840393351172638,-0.015316271680569565,0.44759058073174357,-0.7311650282614113,-0.5750749760424577,1.6451248782277983,1.8178921424061862
0.5270000000000004,0.16490355585266414,-1.2353819901692487,1.3957434667018251,1.4600430805212958,-0.009666295739007041,0.44663130751790436,-0.7194120231182135,-0.6005593947548876,1.6793005708835702,1.814743280914016
0.5280000000000004,0.1588907992558141,-1.2535834812192346,1.4793766780249942,1.236691751453561,-0.004116971933290012,0.4459352440445864,-0.7083045291953429,-0.6260855959506543,1.7133564562318044,1.811675036872764
0.5290000000000004,0.15284448535547862,-1.2718023109987775,1.5616016353975843,1.014448254862537,0.0013226359402724736,0.4455412290796516,-0.6978636585525666,-0.6516391028782104,1.7472399457692447,1.8086938900225105
0.5300000000000004,0.1467529733252158,-1.2900478346825233,1.6422142192195106,0.7937629830209776,0.0066437442164937605,0.44539450182592016,-0.6881094499557961,-0.6772218788309399,1.7809038605578356,1.8058110561934788
0.5310000000000004,0.15365419466189653,-1.7525009867303503,0.8841902081833782,2.6369348896437703,0.0059070041785601185,0.4866040395350618,-0.28421209099883826,-0.37757433344070046,1.5199053316581468,1.8240446187414474
0.5320000000000004,0.1465956374717563,-1.7675276908807172,0.9775221362218341,2.3890215654591316,0.011854875136484033,0.48383453099882484,-0.2739613292366363,-0.4045922068281024,1.5574206337520196,1.8202581977387968
0.5330000000000004,0.1395257778646087,-1.782149208775213,1.0705503740929718,2.1400966325308675,0.01769097535904282,0.48112132474977476,-0.2641471964213997,-0.43169811017129645,1.594945639402216,1.8164736634236909
0.5340000000000004,0.1324875956581059,-1.7964692184787128,1.163031450160104,1.8906747406190796,0.02340557769628024,0.47850061478324335,-0.2548839768743632,-0.45895743246771414,1.6325624377259667,1.8127489809316715
0.5350000000000004,0.12551836944402153,-1.8105185895619889,1.254696371035763,1.641289585365919,0.028988813396881474,0.476019290126114,-0.24620547294847617,-0.4863606008255156,1.6702208275406052,1.8090954485737145
0.5360000000000004,0.11865355731376162,-1.824321664746238,1.3452788317057234,1.392470430030062,0.03443120245137703,0.4737236720552938,-0.23813835129600636,-0.5138916525988548,1.7078613631203412,1.8055211343141255
0.5370000000000004,0.11192694501665401,-1.8379009091786662,1.434517793976438,1.1447393615477892,0.039723703467961016,0.47165849967645584,-0.23070730784989837,-0.5415330047390433,1.7454241670817225,1.802033650688927
0.5380000000000004,0.10537055009297527,-1.851277259841879,1.5221582913609875,0.8986100056339026,0.04485772875536334,0.4698667073437719,-0.22393548045054468,-0.5692658452000432,1.7828497764127587,1.798640354971224
0.5390000000000004,0.09901451709388842,-1.8644701009756095,1.607952063154301,0.6545863904276796,0.04982515541719272,0.4683892794905989,-0.21784444474880166,-0.5970701520611622,1.8200792877429928,1.795348369742852
0.5400000000000004,0.09288702111380556,-1.8774972202849747,1.6916581550528775,0.4131618439049345,0.05461833523285041,0.4672651184082332,-0.21245418668543603,-0.6249246862329041,1.857054446893643,1.7921645726588076
0.5410000000000004,0.18825058535208083,-2.17141171776418,1.0650666790446304,2.4976663587036176,0.03575585728296375,0.4453812927305806,0.07984479272604045,-0.37220739637958744,1.456280740505982,1.7935218251006437
0.5420000000000004,0.17998808607971245,-2.1815003913235493,1.1609521058969738,2.2279837909400797,0.04147633957365797,0.44202311600498695,0.0857229636131519,-0.4024406469447918,1.4981241935199276,1.7891660013686714
0.5430000000000004,0.17173369981566416,-2.1910789280129213,1.2560822306947426,1.9580251735940088,0.04705057655040902,0.438811357288438,0.09116236871097426,-0.4328813126199875,1.5400387431408267,1.7848277218794433
0.5440000000000004,0.16353195553936795,-2.200264790678561,1.350202642290559,1.6883431503788935,0.05246938478704931,0.4357804378867693,0.09603651972112846,-0.4635939538708821,1.5821172776912793,1.780554371509936
0.5450000000000004,0.1554212644519314,-2.2090926552265806,1.4430329441440617,1.419508724821724,0.05772334366500058,0.4329789285650125,0.10031036274988518,-0.49455943155143367,1.6243007425137734,1.7763563002230576
0.5460000000000004,0.1474380186929247,-2.2175897625892262,1.5342967987945344,1.1520862455299221,0.06280346212416753,0.43045474529424105,0.10395690071857397,-0.5257515527643493,1.6665195205899794,1.7722423163244247
0.5470000000000004,0.13961670322369818,-2.225781201489291,1.6237245898963601,0.8866304671495309,0.06770123722184053,0.4282538984182486,0.10695131122708519,-0.5571421973163331,1.7087033763119237,1.768221007819194
0.5480000000000004,0.13198979928835183,-2.2336903402354102,1.711054256586676,0.6236851639800707,0.07240866944114377,0.4264202388371076,0.10927044247676707,-0.5887017558687944,1.7507824390461648,1.7643007165755025
0.5490000000000004,0.12458768712260132,-2.2413388236236096,1.796031950364597,0.3637819125475328,0.07691827311089988,0.4249953096172276,0.11089279616793243,-0.620399179046476,1.7926873885317665,1.760489522790863
0.5500000000000004,0.117429719541117,-2.248684282062169,1.8784161015039293,0.10742907632165632,0.08122331104059094,0.42401687142528294,0.11186436925620809,-0.6522125597453547,1.8343715204844986,1.7567907861894452
0.5510000000000004,0.2632715878932376,-2.936642752544428,1.0330596432681074,2.4707336388659513,0.05463043835855887,0.40315760825145475,0.5699162125822174,-0.3759442909210906,1.3691990610269893,1.7622025086295832
0.5520000000000004,0.2532998712192455,-2.9389870324524483,1.1301648513400586,2.1824368229243376,0.060008897423726545,0.39921278070155286,0.5721707699386536,-0.41026699244433995,1.416778901505302,1.7570668166129293
0.5530000000000004,0.24326010666657968,-2.9406305646558257,1.2264249058228156,1.894201518940929,0.06522082969913119,0.3954126640090338,0.5740110193846336,-0.44481460081802765,1.4645146615376083,1.7519387312228518
0.5540000000000004,0.23321598252206233,-2.94159564686807,1.3215761087653475,1.6066152827863383,0.07025757808170005,0.39178716845734385,0.5753614167157247,-0.47965528424125664,1.5125093793086426,1.7468731516148461
0.5550000000000004,0.22321017082397376,-2.9419320754743583,1.415325938814969,1.3202864172718467,0.07511004920054896,0.38838702503796096,0.5761751148061506,-0.5147651057377534,1.5607040866067443,1.7418782549159797
0.5560000000000004,0.21327392248644472,-2.94159387357606,1.5073825594437136,1.035813100600661,0.07976961652724888,0.385267403974823,0.5765083003537321,-0.5501035518155892,1.6090059319955088,1.7369707126614071
0.5570000000000004,0.20345398479469373,-2.9406864130064574,1.5974659079544749,0.7537894231586872,0.08422803463808627,0.38247480520252275,0.5762548285469127,-0.5856361340195569,1.6573437505210435,1.732153830641888
0.5580000000000004,0.19378696044158925,-2.939235308179062,1.6853003969046805,0.47479538395133103,0.08847760203721718,0.3800581237129043,0.5753939908011229,-0.6213178220528711,1.7056245984802647,1.7274403222282455
0.5590000000000004,0.18430740482345506,-2.937269370789546,1.7706209526753556,0.1993956432934314,0.09251121216460556,0.37806259173335316,0.5739012049006226,-0.6571061636093095,1.7537649123243753,1.7228402514116676
0.5600000000000004,0.17504766261571741,-2.9348162083441633,1.8531723567300462,-0.07186049690679441,0.09632231954931911,0.37653069685008,0.5717528919782195,-0.6929577039768762,1.8016828375366885,1.7183628118326661
0.5610000000000004,0.3161879258066984,-3.8559365273295163,1.0071898087564004,2.1080122259664575,-0.007545989783380738,0.4105732678009637,1.4082496010240921,-0.46323322071620887,1.3809975249528712,1.6018045558529832
0.5620000000000004,0.30432345552819007,-3.848034712850757,1.1035515326454712,1.8078445243367334,-0.0016274628165290905,0.4055931616876439,1.4067341985402408,-0.500900371382524,1.4334578878113262,1.5965239291719486
0.5630000000000004,0.29241094759238195,-3.8391127398462146,1.1988014397652549,1.5086183293491138,0.004159296381537211,0.4006951106191815,1.404793042956574,-0.5386228003468745,1.485897792251881,1.5911347175363257
0.5640000000000004,0.2805095436323758,-3.829294009278085,1.2926713503745813,1.2109546885084463,0.009804344326618822,0.39592422073568556,1.4023065296437038,-0.5764788500428779,1.5384068930346184,1.5858176939401873
0.5650000000000004,0.2686654959659891,-3.8186260702928982,1.3848640010278745,0.9154814614931621,0.015297406752356815,0.3913363972359034,1.3992360989987913,-0.6144345661298342,1.590907300158053,1.5806034331641436
0.5660000000000004,0.25692201262361686,-3.8071500868592536,1.4750872989167059,0.6228150406796376,0.020628676394013765,0.3869860507601026,1.3955496490153014,-0.6524456444239811,1.6433096478221763,1.5755048475114806
0.5670000000000004,0.2453201087287386,-3.7949051198310286,1.5630576784748582,0.33355797089704375,0.025788878286353734,0.3829252984525896,1.3912170502334942,-0.6904655726420806,1.695524224726815,1.5705321283237776
0.5680000000000004,0.23389862051116644,-3.781928457598386,1.6485011114985118,0.048297512094926054,0.030769287017935187,0.37920378153600615,1.3862098040688167,-0.7284466128448844,1.7474622280244452,1.565694897722375
0.5690000000000004,0.2226941096157299,-3.768255575786106,1.731153797053845,-0.2323956736476287,0.0355617380480389,0.3758685290514844,1.3805010802386446,-0.7663398874660828,1.7990359163553191,1.5610023560666149
0.5700000000000004,0.2117407819538046,-3.7539201689780675,1.8107628329428844,-0.5079687974900373,0.04015863850171701,0.37296381742773255,1.3740656787617458,-0.8040955234256034,1.8501588715534265,1.5564633906632963
0.5710000000000004,0.3217939992504212,-4.91966294870735,1.2604627131045971,1.8364822931545526,-0.15035316973399482,0.36092379478114167,2.6911413656083556,-1.115540594073771,1.1950619149608808,1.3354213622133742
0.5720000000000004,0.3095384123939536,-4.8998657119824625,1.3534928501532555,1.532925006409837,-0.14214670290568054,0.3560957077332951,2.684193754162066,-1.152708543152317,1.2490152337071654,1.3300973133129674
0.5730000000000004,0.2974047599603717,-4.878931171471526,1.4451631343020936,1.2311624024935117,-0.13398057469187147,0.3515266235657548,2.676614343173832,-1.1894766419984488,1.3025681546032106,1.3247389103657976
0.5740000000000004,0.285442955752446,-4.8569889968893465,1.535204727093595,0.9318172501340845,-0.12586814304312516,0.34725415175080604,2.6682818967975357,-1.2259181506643397,1.3558154193471572,1.3194836760657753
0.5750000000000004,0.27369113023693653,-4.834091000340788,1.623324346703483,0.6355148163364546,-0.11782319476104701,0.3433298045149937,2.6591580637688,-1.2620000450558924,1.408684008372076,1.314355374327
0.5760000000000004,0.26218423637746935,-4.8102821646388225,1.7092352324423326,0.3428664766772809,-0.10985906485443148,0.3398035339805455,2.6492114181274986,-1.297680419436816,1.4610902515667479,1.3093648483576046
0.5770000000000004,0.2509547439087876,-4.785605205786232,1.7926601713078152,0.054467421146252804,-0.10198856130848112,0.3367227019891788,2.6384126497060687,-1.3329159862011104,1.5129509517252797,1.3045209690034363
0.5780000000000004,0.24003265145478725,-4.7601008986517535,1.8733324066264498,-0.22910473966651068,-0.09422394419542594,0.3341318926690635,2.6267342298067944,-1.3676628317423072,1.5641844413267085,1.29983201722255
0.5790000000000004,0.22944543441238288,-4.7338080994517036,1.9509963127873782,-0.5072912541900838,-0.08657691014956176,0.3320727879117962,2.6141503901514818,-1.4018765381617453,1.6147107940869496,1.295305835867625
0.5800000000000004,0.21921800239825207,-4.706763779165161,2.025408023694389,-0.7795534472713603,-0.07905857814909713,0.33058405266334684,2.600637092442481,-1.4355122905237394,1.664452019417554,1.2909498997460704
0.5810000000000004,0.3816491556929205,-6.2992003291163865,1.6505114300968153,1.427769342993722,-0.3967360150675362,0.3625382553346515,3.794137859773982,-1.9087373930860145,0.6015061113180165,0.9389827716852508
0.5820000000000004,0.3384507653758686,-6.296670960415836,1.6915681398844955,1.9489220175606243,0.33410972687457485,0.32384927780665207,3.9550313137514257,-1.8356618996920377,0.611936530845672,0.9207877558355694
0.5830000000000004,0.31419301608622907,-6.244375883413951,1.745685958242749,1.7927359881977227,0.4084170801899758,0.31216140558093947,3.981419511297557,-1.8317542965384224,0.6371218506715822,0.9017782181738642
0.5840000000000004,0.2962270205071301,-6.202563748210073,1.8143691915015285,1.6234787927069434,0.46947295868698125,0.3016262381237355,3.999647004606707,-1.8328926357134054,0.6605447279007661,0.882230597414743
0.5850000000000004,0.2818176999155786,-6.160507475673419,1.8853278971477627,1.45728726108271,0.5306723083939295,0.29102853631096953,4.01638857811419,-1.8334885253227615,0.6811613734476978,0.8621721156561613
0.5860000000000004,0.268338816551531,-6.116800432768972,1.9554715859864458,1.2940993124534943,0.5912648892629305,0.2805402913549614,4.0325515965316425,-1.8325072719986386,0.6988355911021282,0.8416275616656455
